route,total_value,trips
Germany/Italy/Air,1970000000,54
Netherlands/France/Rail,47000,54
Japan/Germany/Air,23111000,54
Spain/Belgium/Sea,613000000,53
Spain/Germany/Rail,583000000,52
South Korea/United Arab Emirates/Sea,1713000000,51
Australia/Mexico/Sea,84000000,51
Italy/United Kingdom/Sea,706038000,50
Russia/Belorussia/Road,736000000,49
USA/China/Air,241000000,49
Italy/France/Road,469060000,48
Austria/USA/Sea,112000,48
Japan/South Korea/Sea,927000000,48
Canada/USA/Road,569000000,47
Brazil/USA/Sea,272000000,46
USA/Brazil/Rail,996000000,46
Brazil/Argentina/Road,257000000,46
Singapore/Japan/Sea,152000,46
Germany/China/Air,877875000,46
Switzerland/Italy/Road,366000000,45
China/South Korea/Road,255000000,45
Netherlands/Germany/Rail,143029000,44
Mexico/Peru/Sea,1673000,44
Germany/USA/Air,1666000,43
Japan/Singapore/Sea,511000000,43
Germany/United Kingdom/Sea,2096000,42
Spain/Mexico/Sea,957000000,41
Spain/France/Rail,345000000,40
Germany/Poland/Rail,570000000,36
Russia/France/Sea,542000000,36
Belgium/Netherlands/Road,311000000,36
Brazil/Argentina/Rail,208000000,36
USA/Germany/Air,880000000,34
Mexico/Germany/Sea,345000000,34
Belgium/France/Road,343000000,32
Austria/France/Rail,93000,32
Italy/Croatia/Rail,699000000,30
USA/China/Sea,688000000,30
Germany/India/Sea,548000000,30
Italy/Singapore/Rail,45000,30
South Korea/Germany/Air,738000000,29
Mexico/USA/Road,305000000,29
Belgium/Germany/Road,302000000,29
Netherlands/Argentina/Sea,36000,29
Russia/Japan/Sea,494000000,28
Italy/Mexico/Sea,680000000,28
India/Germany/Sea,137000000,28
Italy/Canada/Sea,66000,28
Spain/Italy/Sea,350000000,26
India/Russia/Sea,106000000,26
Italy/Ireland/Rail,563000000,25
Spain/Brazil/Sea,442000000,25
France/Germany/Rail,17000,25
USA/Germany/Sea,740000000,24
Netherlands/Mexico/Sea,28000,24
Netherlands/Brazil/Sea,59000,23
France/Italy/Road,852000000,23
Canada/United Kingdom/Sea,163000000,23
Singapore/China/Sea,63000,23
USA/Japan/Air,381000000,22
Japan/Switzerland/Sea,197000000,21
China/Mexico/Sea,244000000,21
United Arab Emirates/India/Sea,371000000,20
France/Netherlands/Road,14000,20
Russia/South Korea/Sea,403000000,20
Canada/Brazil/Sea,206000000,19
Italy/Netherlands/Sea,38000,19
India/Japan/Sea,111000000,19
Vietnam/United Arab Emirates/Sea,540000000,18
Japan/USA/Sea,527000000,17
USA/Mexico/Road,340000000,16
Italy/Russia/Rail,40000,16
Japan/Spain/Sea,368000000,15
China/USA/Sea,297000000,15
Japan/South Korea/Air,299000000,14
France/Russia/Rail,20000,13
Germany/United Kingdom/Air,539000,10
Germany/Mexico/Air,472000,9
Japan/India/Sea,115000000,8
France/Austria/Rail,7000,7
Brazil/Germany/Sea,76000000,6
Malaysia/Singapore/Sea,78000000,4
Netherlands/Belgium/Sea,8000000,1
